EEP,M/Mo,LogTeff,LogG,LogL/Lo,DECam_u,DECam_g,DECam_r,DECam_i,DECam_z,DECam_Y
199,0.85778,3.73,3.1356,1.1091,3.2517,2.4215,1.9319,1.7771,1.7178,1.7018
200,0.857975,3.7295,3.1167,1.1261,3.2136,2.3809,1.8898,1.7342,1.6744,1.658
201,0.858165,3.729,3.0973,1.1436,3.1744,2.339,1.8463,1.69,1.6296,1.613
202,0.858348,3.7285,3.0772,1.1618,3.1334,2.2954,1.8011,1.644,1.583,1.5662
203,0.858525,3.7279,3.0562,1.1805,3.0921,2.2508,1.7546,1.5967,1.535,1.5178
204,0.858697,3.7275,3.0353,1.1997,3.0483,2.2046,1.707,1.5483,1.4861,1.4686
205,0.858864,3.7269,3.0135,1.2193,3.0047,2.1579,1.6584,1.4989,1.436,1.4182
206,0.859025,3.7263,2.9913,1.2392,2.9603,2.1103,1.6089,1.4485,1.3849,1.3668
207,0.859183,3.7257,2.9686,1.2595,2.9158,2.0621,1.5586,1.3972,1.3329,1.3144
208,0.859336,3.725,2.9455,1.2801,2.8706,2.0133,1.5076,1.3452,1.2801,1.2613
209,0.859485,3.7244,2.922,1.301,2.8249,1.9639,1.456,1.2925,1.2266,1.2074
210,0.859629,3.7237,2.8983,1.3221,2.7789,1.9139,1.4036,1.2391,1.1724,1.1528
211,0.859769,3.723,2.8741,1.3435,2.7324,1.8633,1.3506,1.185,1.1174,1.0975
212,0.859904,3.7222,2.8495,1.3651,2.686,1.8123,1.2971,1.1303,1.0618,1.0414
213,0.860036,3.7215,2.8247,1.387,2.6389,1.7608,1.243,1.075,1.0056,0.9848
214,0.860163,3.7208,2.7999,1.4091,2.5909,1.7085,1.1883,1.0192,0.9489,0.9278
215,0.860286,3.72,2.7745,1.4315,2.5433,1.6561,1.1332,0.9628,0.8916,0.87
216,0.860404,3.7192,2.7489,1.454,2.4954,1.6033,1.0775,0.9058,0.8337,0.8117
217,0.860426,3.7191,2.7441,1.4582,2.4863,1.5933,1.067,0.8951,0.8228,0.8006
218,0.860448,3.7189,2.7393,1.4625,2.4773,1.5833,1.0565,0.8844,0.8119,0.7897
219,0.86047,3.7188,2.7343,1.4668,2.4681,1.5732,1.0459,0.8735,0.8008,0.7785
220,0.860491,3.7186,2.7294,1.4711,2.459,1.5631,1.0352,0.8625,0.7897,0.7673
221,0.860513,3.7185,2.7245,1.4755,2.4499,1.553,1.0245,0.8516,0.7785,0.7561
222,0.860534,3.7183,2.7196,1.4798,2.4406,1.5428,1.0138,0.8406,0.7674,0.7448
223,0.860556,3.7182,2.7145,1.4842,2.4314,1.5325,1.0029,0.8295,0.7561,0.7335
224,0.860577,3.718,2.7096,1.4886,2.4221,1.5222,0.9921,0.8184,0.7448,0.7221
225,0.860598,3.7178,2.7045,1.493,2.4128,1.512,0.9812,0.8073,0.7335,0.7107
226,0.860619,3.7177,2.6995,1.4974,2.4035,1.5016,0.9703,0.7961,0.7221,0.6992
227,0.860825,3.716,2.6479,1.5424,2.3097,1.3967,0.8591,0.6821,0.6061,0.5823
228,0.861001,3.7144,2.5995,1.5844,2.2246,1.2997,0.7552,0.5754,0.4974,0.4728
229,0.861178,3.7127,2.547,1.6303,2.1316,1.1939,0.6417,0.4588,0.3788,0.3533
230,0.861334,3.7112,2.4971,1.6742,2.0416,1.092,0.5327,0.347,0.2652,0.239
231,0.861474,3.7094,2.4473,1.717,1.9584,0.9944,0.4268,0.2378,0.1538,0.1267
232,0.861605,3.7076,2.3969,1.7602,1.8755,0.8966,0.3204,0.128,0.0418,0.0138
233,0.861723,3.7058,2.3478,1.8021,1.7949,0.8015,0.2177,0.022,-0.0665,-0.0955
234,0.861836,3.7039,2.2967,1.8455,1.7119,0.7033,0.1114,-0.0878,-0.1786,-0.2088
235,0.861937,3.702,2.2476,1.8873,1.633,0.6093,0.0095,-0.193,-0.2863,-0.3175
236,0.86203,3.7001,2.1987,1.9287,1.5553,0.5164,-0.0914,-0.2974,-0.3931,-0.4254
237,0.862116,3.6982,2.1499,1.9699,1.4789,0.4247,-0.1916,-0.4011,-0.4993,-0.5326
238,0.862193,3.6964,2.1041,2.0087,1.4076,0.3391,-0.2855,-0.4985,-0.5991,-0.6333
239,0.862266,3.6947,2.0588,2.0468,1.3383,0.2552,-0.3779,-0.5943,-0.6974,-0.7325
240,0.862333,3.6931,2.0189,2.0805,1.2776,0.1813,-0.4593,-0.6789,-0.7841,-0.8201
241,0.862397,3.6921,1.9934,2.1021,1.2384,0.1337,-0.5118,-0.7332,-0.8398,-0.8763
242,0.86246,3.6929,2.0074,2.0913,1.2534,0.1554,-0.4862,-0.7061,-0.8116,-0.8477
243,0.862529,3.6921,1.9839,2.1117,1.2149,0.1099,-0.5356,-0.7571,-0.8638,-0.9002
244,0.862595,3.6897,1.9286,2.1574,1.1382,0.0116,-0.6457,-0.8719,-0.9819,-1.0197
245,0.862654,3.6873,1.8734,2.203,1.066,-0.0858,-0.7552,-0.9863,-1.0996,-1.1388
246,0.862708,3.6849,1.8199,2.2471,0.9994,-0.179,-0.8606,-1.0966,-1.2132,-1.2538
247,0.862757,3.6826,1.7662,2.2912,0.9351,-0.2716,-0.9659,-1.2071,-1.327,-1.3691
248,0.862801,3.6803,1.7157,2.3327,0.8762,-0.3581,-1.0648,-1.3107,-1.4339,-1.4775
249,0.862841,3.678,1.6651,2.3742,0.8188,-0.4438,-1.1631,-1.4141,-1.5405,-1.5855
250,0.862878,3.6758,1.6156,2.4147,0.7639,-0.527,-1.2591,-1.515,-1.6447,-1.6911
251,0.862911,3.6736,1.5676,2.454,0.7123,-0.6071,-1.3518,-1.6127,-1.7455,-1.7933
252,0.862941,3.6714,1.5199,2.493,0.6629,-0.6858,-1.4434,-1.7093,-1.8454,-1.8946
253,0.862969,3.6692,1.4732,2.5308,0.6188,-0.7606,-1.5318,-1.8028,-1.9422,-1.9928
254,0.862995,3.6669,1.4272,2.5677,0.5791,-0.8326,-1.6178,-1.8941,-2.0369,-2.089
255,0.863018,3.6646,1.3821,2.6039,0.543,-0.9019,-1.7015,-1.9831,-2.1294,-2.1829
256,0.86304,3.6624,1.3377,2.6393,0.5099,-0.969,-1.7831,-2.0702,-2.22,-2.2749
257,0.86306,3.6601,1.2937,2.6742,0.4796,-1.0341,-1.8632,-2.1558,-2.3092,-2.3656
258,0.863079,3.6579,1.2506,2.7084,0.4521,-1.0968,-1.9411,-2.2393,-2.3963,-2.4542
259,0.863096,3.6557,1.2083,2.7417,0.4273,-1.157,-2.0166,-2.3205,-2.4811,-2.5405
260,0.863112,3.6535,1.1669,2.7743,0.405,-1.2148,-2.09,-2.3996,-2.5638,-2.6248
261,0.863126,3.6513,1.1265,2.806,0.3852,-1.2703,-2.1609,-2.4763,-2.6441,-2.7066
262,0.86314,3.6491,1.0861,2.8376,0.3678,-1.3243,-2.2309,-2.5522,-2.7238,-2.7878
263,0.863153,3.6469,1.0469,2.8681,0.3525,-1.3757,-2.2981,-2.6254,-2.8007,-2.8663
264,0.863165,3.6447,1.0081,2.8982,0.3391,-1.4255,-2.3641,-2.6974,-2.8766,-2.9436
265,0.863176,3.6425,0.97,2.9274,0.3306,-1.4716,-2.4269,-2.7665,-2.9497,-3.0184
266,0.863186,3.6403,0.9322,2.9563,0.3249,-1.5158,-2.4883,-2.8345,-3.0218,-3.0922
267,0.863196,3.638,0.895,2.9846,0.3209,-1.5581,-2.5479,-2.9007,-3.0922,-3.1642
268,0.863205,3.6359,0.8587,3.0122,0.3178,-1.5986,-2.6057,-2.965,-3.1607,-3.2343
269,0.863214,3.6337,0.8232,3.0392,0.3153,-1.6377,-2.6618,-3.0277,-3.2274,-3.3026
270,0.863222,3.6316,0.7883,3.0657,0.3126,-1.676,-2.717,-3.0894,-3.2931,-3.3699
271,0.86323,3.6296,0.754,3.0918,0.3106,-1.7129,-2.7708,-3.1497,-3.3574,-3.4357
272,0.863237,3.6276,0.7204,3.1174,0.3084,-1.7489,-2.8234,-3.2087,-3.4204,-3.5002
273,0.863244,3.6256,0.6878,3.1422,0.307,-1.7828,-2.8739,-3.2657,-3.4812,-3.5626
274,0.86325,3.6238,0.6558,3.1667,0.3055,-1.8161,-2.9236,-3.3217,-3.5412,-3.624
275,0.863256,3.622,0.6248,3.1905,0.3043,-1.8477,-2.9714,-3.3759,-3.5991,-3.6835
276,0.863262,3.6202,0.5944,3.2138,0.3033,-1.8782,-3.0181,-3.4289,-3.6559,-3.7417
277,0.863267,3.6185,0.5648,3.2366,0.3024,-1.9074,-3.0633,-3.4804,-3.7112,-3.7983
278,0.863272,3.6168,0.5364,3.2584,0.301,-1.9354,-3.1068,-3.5299,-3.7643,-3.8528
